codigo_alimento;nome_alimento_pt_br;categoria_pt_br;marca;calorias_kcal_100;proteinas_g_100;carboidratos_g_100;gorduras_g_100;fibras_g_100;quantidade_base;unidade_base;peso_medio_unidade_g;peso_porcao_g;idioma_nome;ativo;fonte
BR0109;Vagem cozida;Verduras e legumes;;29.0;1.8;6.0;0.2;2.7;100;g;;100;pt-BR;S;Valor médio
BR0110;Espinafre cozido;Verduras e legumes;;23.0;2.9;3.8;0.3;2.4;100;g;;100;pt-BR;S;Valor médio
BR0111;Cogumelo champignon cozido;Verduras e legumes;;28.0;3.6;4.3;0.5;1.0;100;g;;100;pt-BR;S;Valor médio
BR0112;Palmito em conserva drenado;Verduras e legumes;;29.0;2.5;4.6;0.6;3.2;100;g;;100;pt-BR;S;"Valor médio; conferir rótulo"
BR0113;Azeite de oliva extra virgem;Óleos e gorduras;;884.0;0.0;0.0;100.0;0.0;100;g;;13;pt-BR;S;Valor médio
BR0114;Óleo de soja;Óleos e gorduras;;884.0;0.0;0.0;100.0;0.0;100;g;;13;pt-BR;S;Valor médio
BR0115;Açúcar refinado;Açúcares e doces;;387.0;0.0;99.9;0.0;0.0;100;g;5;10;pt-BR;S;Valor médio
BR0116;Mel de abelha;Açúcares e doces;;309.0;0.3;84.0;0.0;0.2;100;g;;20;pt-BR;S;Valor médio
BR0117;Café coado sem açúcar;Bebidas;;2.0;0.1;0.0;0.0;0.0;100;ml;;100;pt-BR;S;Valor médio
BR0118;Suco de laranja natural;Bebidas;;37.0;0.7;8.8;0.2;0.2;100;ml;;200;pt-BR;S;Valor médio
BR0119;Água de coco;Bebidas;;22.0;0.0;5.3;0.0;0.0;100;ml;;200;pt-BR;S;Valor médio
BR0120;Refrigerante tipo cola;Bebidas;;33.5;0.0;8.7;0.0;0.0;100;ml;;350;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0121;Refrigerante tipo guaraná;Bebidas;;38.7;0.0;10.0;0.0;0.0;100;ml;;350;pt-BR;S;TACO 4ª ed. NEPA/UNICAMP
BR0122;Maionese tradicional;Molhos e condimentos;;302.0;0.6;7.9;30.5;0.0;100;g;;15;pt-BR;S;"Valor médio; conferir rótulo"
BR0123;Ketchup;Molhos e condimentos;;101.0;1.8;25.8;0.1;0.3;100;g;;15;pt-BR;S;"Valor médio; conferir rótulo"
BR0124;Chocolate ao leite;Açúcares e doces;;540.0;7.2;59.0;30.7;3.4;100;g;25;25;pt-BR;S;"Valor médio; conferir rótulo"
BR0125;Chocolate amargo 70%;Açúcares e doces;;598.0;7.8;46.0;43.0;11.0;100;g;10;25;pt-BR;S;"Valor médio; conferir rótulo"
BR0126;Sorvete de creme;Açúcares e doces;;201.0;3.5;23.6;10.9;0.7;100;g;;60;pt-BR;S;"Valor médio; conferir rótulo"
